Little Snail Desc,A tiny snail crossing soft moss,等它慢慢穿过湿润苔藓,,,,,,
Little Snowman,Little Snowman,小雪人,,,,,,
Little Snowman Desc,A little snow friend in white fields,雪地里安静的小伙伴,,,,,,
Little Succulent,Little Succulent,小多肉,,,,,,
Little Succulent Desc,A small succulent growing in sand,沙地里可爱的多肉,,,,,,
Long-tailed Tit,,北长尾山雀,,,,,,
Long-tailed Tit Description,"A tiny fluffy sprite with a graceful tail. It flits in groups, weaving",娇小圆润，尾羽细长如丝。常成群穿梭林间，呢喃轻快，互相依偎取暖。它们以团结与温情闻名，是寒林中最温暖的身影。,,,,,,
Loop,Loop,循环播放,,,,,,
Lorikeet,Lorikeet,吸蜜鹦鹉,吸蜜鸚鵡,,,,,
LoryDescription,"""A flower nectar lover with a magical brush-tipped tongue, glowing feathers,",拥有魔法小舌头的花蜜爱好者，羽毛闪闪发光，性格活泼，像永远转不完的小陀螺。,擁有魔法小舌頭的花蜜愛好者，羽毛閃閃發光，性格活潑，像永遠轉不完的小陀螺。,"""\uB85C\uB9AC\uC988\uB294 \uC8FC\uB984\uC9C0\uB2CC \uD600\uB97C \uAC00\uC9C4","""\u041B\u043E\u0440\u0438\u0438 - \u044F\u0440\u043A\u043E \u043E\u043A\u0440\u0430\u0448\u0435\u043D\u043D\u044B\u0435","""Les Loris sont des perroquets color\xE9s vifs connus pour leurs langues","""Los loros son p\xE1jaros de colores brillantes conocidos por sus leng\xFCetas",ロリイは、刷毛状の舌を持つために有名な明るい色彩のパロットで、花蜜と果物を食べます。非常に活発的で騒々しいため、敏捷な飛行能力を持っています。
LoryHabitat,"""Prefers to live among blooming flowers, darting around to sip nectar,",爱住在开满花的地方，飞来飞去帮忙采蜜，是森林里的花园小帮手。,愛住在開滿花的地方，飛來飛去幫忙採蜜，是森林裡的花園小幫手。,"""\uB85C\uB9AC\uC2A4\uB294 \uC624\uC2A4\uD2B8\uB808\uC77C\uB9AC\uC544\uC640","""\u041B\u043E\u0440\u0438 \u043D\u0430\u0441\u0435\u043B\u044F\u044E\u0442","""Les loris habitent les for\xEAts de pluie tropicales, les bois littoraux","""Los loros habitan bosques de pluvisilvestres tropicales, matorrales",ロリースはオーストラリアジアと太平洋の島々をまたにかけて、熱帯雨林、海浜林、およびマングローブに棲息している。花が繁る木々が多いところで栄える。
Lotus,Lotus,荷花,,,,,,
Lotus Desc,A lotus blooming on still water,水面盛开的粉色荷花,,,,,,
Lotus Flower,Lotus Flower,荷花,,,,,,
Lotus Flower Desc,A lotus blooming on still water,水面盛开的粉色荷花,,,,,,
Lucky Clover,Lucky Clover,四叶草,,,,,,
Lucky Clover Desc,A lucky clover beside the field,田边偶然出现的幸运草,,,,,,
MAPKEY,Map (M),地图 (M),地圖,지도,Карта,Plan,Mapa,マップ
MEDIUM,,,,,,,,
Management,Your bird,你的鸟类,,,,,,
Mandarin Duck,Mandarin Duck,鸳鸯,,,,,,
Mandarin Duck Desc,"A colorful pair always staying together, swimming side by side, playful",成双成对的小鸟，一起游在水面，活泼又亲密，像温柔陪伴的小象征。,,,,,,
ManegeSell,Release,放飞,,,,,,
ManualFeeding,Turn On Auto Feeding,自动喂食,,,,,,
Marsh Flower,Marsh Flower,湿地小花,,,,,,
Marsh Flower Desc,A flower growing in wet soil,湿润泥土中的花,,,,,,
Marsh Frog,Marsh Frog,可爱青蛙,,,,,,
Marsh Frog Desc,A frog living in the marsh,湿地里生活的小青蛙,,,,,,
Marsh Idol,Marsh Idol,石雕,,,,,,
Marsh Idol Desc,An ancient stone carving in marsh,湿地里古老的石雕,,,,,,
MaxEggLimitKey,No more space in the habitat.,栖息地没有空位了,超出森林數量,,,,,
Min,Min,分钟,分鐘,분,Минуты,Les minutes,Minutos,分
Moss Snail,Moss Snail,小蜗牛,,,,,,
Moss Snail Desc,A tiny snail crossing soft moss,等它慢慢穿过湿润苔藓,,,,,,
Mountain,Mountain,高山,,,,,,
Mountain Flower,Mountain Flower,山野花,,,,,,
Mountain Flower Desc,A wild flower on the mountain slope,山坡上自由生长的花,,,,,,
Mountain Wildflower,Wild Bloom,山野花,,,,,,
Mountain Wildflower Desc,A wild flower on the mountain slope,山坡上自由生长的花,,,,,,
Mouse,Mouse,鼠标,,,,,,
Mushrrom,Mushrrom,蘑菇,蘑菇,버섯,Муши́ра,Champignon,Champiñón,マッシュルーム
NOTEBOOKKEY,Note (N),笔记本 (N),注意,노트북,Заметка,«Notice»,Nota,ノート
Namaqua Dove,,纳马夸鸠,,,,,,
Namaqua DoveDescription,"Tiny and elegant, with a long pointed tail and soft coo. Adapted to hot,",娇小优雅，尾羽细长，呢喃轻柔。适应炙热旷野，象征平和与在烈日下的从容。 ,,,,,,
Nature Book,Nature Book,草木图鉴,,,,,,
Nature Book Desc,A bird book inspired by nature,自然主题鸟类图鉴,,,,,,
NeedToPayCoinsToPurchase,You need to pay ${0} to purchase it.,需要支付 {0} 才能购买它。,,,,,,
NewBookKey,Book,书,書,,,,,
NewVolumeBar,Music volume,音乐音量,,,,,,
NewVolumeDown,Volume down,音量减少,,,,,,
NewVolumeUp,Volume up,音量增加,,,,,,
Next,Next,下一首,,,,,,
Next Session,Next Session,下一个工作,,,,,,
Night Heron,Night Heron,夜鹭,,,,,,
Night Heron Desc,"A quiet bird that appears at dusk, standing still near water, watching",黄昏出现的小鸟，静静守在水边，动作轻柔，带着一点神秘与安静的气息。,,,,,,
Northern Cardinal,Northern Cardinal,北美红雀,北美紅雀,,,,,
Northern Goshawk,,苍鹰,,,,,,
Northern GoshawkDescription,"A sharp-eyed forest hunter, swift and silent. It patrols treetops with",森林中的强者，宽翼锐目，穿梭树间追猎。象征精准、主宰与林中不羁的灵魂。,,,,,,
Notebook,Notebook,笔记本,,,,,,
Number of Sessions,Number of Sessions,工作次数,工作次數,세션 수,Количество сессий,Nombre de sessions,Número de Sesiones,セッション数
Ocean Book,Ocean Book,海洋图鉴,,,,,,
Ocean Book Desc,A bird book with ocean theme,海洋风格鸟类图鉴,,,,,,
Odd Desert Tree,Odd Desert Tree,奇怪小树,,,,,,
Odd Desert Tree Desc,A strange tree standing in desert,沙漠中孤独的小树,,,,,,
Oil Lantern,Oil Lantern,油灯,,,,,,
Oil Lantern Desc,A warm lantern in the quiet night,夜色中温暖的油灯,,,,,,
Old Fishing Net,Old Fishing Net,渔网,,,,,,
Old Fishing Net Desc,An old fishing net left on shore,被遗忘在岸边的渔网,,,,,,
Old Flask,Old Flask,水壶,,,,,,
Old Flask Desc,An old flask left by traveler,旅人留下的旧水壶,,,,,,
OnlyDeleteHint,Right click to delete,右键删除,,,,,,
OstrichDescription,"""The desert\u2019s giant runner\u2014flightless but incredibly fast.",沙漠里的“长腿跑步冠军”，虽然不会飞，却跑得飞快。它用有力的步伐轻松跨越无尽沙丘，既自信又坚强，还带点憨憨的可爱。,,,,,,
Output,Income,收入,,,,,,
Owl,pharaoh eagle-owl,雕鸮,,,,,,
POMODORO,POMODORO,番茄钟,,,,,,
Paddy field,Paddy field,稻田,,,,,,
Parakeet,Parakeet,虎皮鹦鹉,,,,,,
Parakeet1,Parakeet,虎皮鹦鹉,,,,,,
ParakeetDescription,A striped little cutie who loves chirping in flocks and playing nonstop.,背上有条纹的小可爱，总喜欢成群结队叽叽喳喳，玩耍不停。是世界上最受欢迎的小伙伴之一。,背上有條紋的小可愛，總喜歡成群結隊嘰嘰喳喳，玩耍不停。是世界上最受歡迎的小伙伴之一。,"""\u092A\u0930\uCF00\uD2B8\uB294 \uC0C9\uB2E4\uB978 \uC791\uC740 \uD30C\uB85C\uB85C","""\u041F\u0430\u0440\u043E\u0435\u043A\u0438 - \u044D\u0442\u043E \u043C\u0430\u043B\u0435\u043D\u044C\u043A\u0438\u0435","""Les perruches sont des petits perroquets color\xE9s avec des queues","""Los lorosideos son loros peque\xF1os y coloridos con largas colas. Son",パラケットは、カラフルで小さなパロットである。長い尻尾をもつ彼らは、遊び好きで社会的かつ人間の声を模倣することができるため人気のあるペットとなった。
ParakeetHabitat,,,虎皮鸚鵡原產於澳洲，常見於乾燥的草原與灌木地區，經常成群遷徙尋找水源，適應力極強。,"""\uD638\uC0C1\uC790\uC0C8\uB294 \uD638\uC218, \uC0BC\uB9BC, \uCD08\uC6D0\uC5D0\uC11C","""\u0412\u0438\u0434\u043E\u0432\u0430\u044F \u043F\u0430\u0440\u0443\u0441\u043D\u0430\u044F","""Les perruches sauvages prosp\xE8rent dans les steppes ouvertes, les","Los loros salvajes prosperan en llanuras abiertas, bosques y praderas",オーストラリアのオープン・プレインズ、ウッドランド、グラスランドに住むワイルド・パレイクットは、大きな群れを形成し、種子と水源周辺で生存しています。
Passenger Pigeon,Passenger Pigeon,旅鸽,,,,,,
Passenger Pigeon Desc,"A bird from long ago, once flying over vast fields in great numbers,",曾飞过田野的鸟，如今只剩回忆，带着遥远又安静的感觉。,,,,,,
Pause,Pause,暂停,,,,,,
Pelican,Pelican,鹈鹕,,,,,,
Pelican Desc,"A big bird with a funny pouch, floating calmly on the water and scooping",嘴袋大大的小鸟，在水上慢慢捞鱼，动作有点笨，却特别讨人喜欢。,,,,,,
Pharaoh Eagle-Owl,A powerful nocturnal raptor with golden eyes and desert-colored plumage.,一只强大又有点神秘的夜行猛禽，拥有金闪闪的大眼睛和沙漠色的小羽毛，在夜晚悄悄守护着自己的世界，显得又酷又可爱。,,,,,,
Pharaoh Eagle-OwlDescription,A majestic nocturnal hunter with amber eyes and sandy feathers that blend,夜行猛禽，琥珀眼、沙色羽，与岩壁融为一体。低沉的鸣声在夜中回荡，象征神秘与静默的力量。,,,,,,
Pheasant,Pheasant,雉鸡,,,,,,
Pheasant Desc,"A colorful bird walking proudly through rice fields, long tail trailing,",在稻田中行走的彩色小鸟，尾巴修长，像藏在田野里的小宝石。,,,,,,
Phoenix,Phoenix,凤凰,,,,,,
Phoenix Desc,"""A mythical firebird found across many cultures, said to live for centuries",跨越多种文化的传说神鸟，据说历经百年后浴火化灰、再度重生，象征着永恒的希望与生命的轮回。,,,,,,
Pigeon,Pigeon,鸽子,,,,,,
Pigeon Desc,"A calm bird walking along field paths, pecking slowly, gentle and familiar,",在田埂上慢慢行走的小鸟，轻轻觅食，温和又熟悉，让人安心。,,,,,,
Pinecone,Pinecone,松果,,,,,,
Pinecone Desc,A pinecone fallen from tall pines,松林落下的小小果实,,,,,,
Pink Flower,Pink Flower,粉色小花,,,,,,
Pink Flower Desc,A pink flower beside the sea,海边柔软的粉花,,,,,,
Pink Seabloom,Pink Seabloom,粉色小花,,,,,,
Pink Seabloom Desc,A pink flower beside the sea,海边柔软的粉花,,,,,,
Pink-headed Duck,Pink-headed Duck,粉头鸭,,,,,,
Pink-headed Duck Desc,"A soft colored duck with a gentle pink head, quietly floating on water,",粉色小脑袋的鸭子，轻轻漂在水面，安静又可爱，让湿地变得温暖柔和。,,,,,,
Play,Play,播放,,,,,,
Plushie Bear,Bear William,小熊威廉,,,,,,
Plushie BearDescription,Always dozing off in the sunshine.,森林里的可爱小熊，总爱在阳光下打盹。,,,,,,
Plushie Shark,Shark Leo,鲨鱼里奥,,,,,,
Plushie SharkDescription,"Open mouth out of habit, not to bite.",张嘴只是习惯，不是真的想咬人。,,,,,,
Polar Grass,Polar Grass,寒带小草,,,,,,
Polar Grass Desc,A grass growing in polar wind,在寒风中生长的小草,,,,,,
Pomodoro Clock,Pomodoro Clock (P),番茄钟 (P),番茄鐘,,,,,
Potted Plant,Potted Plant,盆栽,,,,,,
Potted Plant Desc,A small plant resting in a pot,安静摆放的小盆栽,,,,,,
Powdered Head Duck,,粉红头鸭,,,,,,
Previous,Previous,上一首,,,,,,
Ptarmigan,,雷鸟,,,,,,
PtarmiganDescription,"""A master of camouflage\u2014white in winter, brown in summer. Found",伪装大师——冬白夏褐。栖于北极与高山地带，与环境融为一体。安静坚强，是冰原中自然的力量象征。,,,,,,
Purchase successful! Left-click to place the ornament,Purchase successful! Left-click to place the ornament,购买成功！单击以放置装饰物。,購買成功！點擊以置放裝飾物。,"""\uAD6C\uB9E4 \uC131\uACF5\uD588\uC2B5\uB2C8\uB2E4! \uB370\uC2A4\uD06C\uD1B1","""\u0423\u0441\u043F\u0435\u0448\u043D\u043E \u0432\u044B\u043F\u043E\u043B\u043D\u0435\u043D\u043E","""L'achat a \xE9t\xE9 r\xE9ussi ! Cliquez sur le bouton gauche pour placer","""\xA1El pago ha sido exitoso! Haz clic con el bot\xF3n izquierdo para",購入成功！左クリックで飾りを置きます。
Purchase successful! The decoration has been placed!,Purchase successful! The decoration has been placed!,购买成功！装饰品已放置！,,,,,,
Purchase successful! The ornament has been placed in the designated place,Purchase successful! The ornament has been placed in the designated place,购买成功！装饰物已经被放置在指定位置。,購買成功！飾品已被放置在指定位置。,"""\uAD6C\uB9E4 \uC131\uACF5! \uD574\uB2F9 \uC7A5\uC2DD\uD488\uC740 \uC9C0\uC815\uB41C","""\u0423\u0441\u043F\u0435\u0448\u043D\u0430\u044F \u043F\u043E\u043A\u0443\u043F\u043A\u0430!","""L'achat a \xE9t\xE9 r\xE9alis\xE9 avec succ\xE8s ! L'ornement a \xE9t\xE9","""\xA1El purchase ha sido exitoso! El ornamento ha sido colocado en el",購入完了！オーナメントは、指定された場所に配置されました。
Purchased,Equipped,已装备,,,,,,
Purple Alpine Flower,Tiny Purple,紫山花,,,,,,
Purple Alpine Flower Desc,A purple flower among mountain road,山地边上的紫花,,,,,,
Quail,Quail,鹌鹑,,,,,,
Quail Desc,"A round little bird hiding among rice plants, moving low and quietly,",躲在稻田里的小鸟，贴地行动，安静又害羞，很容易融入田间。,,,,,,
Questionaire,Feedback,提交反馈,意見回饋,,,,,
Quiet Pond,Quiet Pond,小水潭,,,,,,
Quiet Pond Desc,A quiet pond beside the rice fields,田边安静的小水潭,,,,,,
Quit Game,Quit Game,退出游戏,退出遊戲,Spiel beenden,Sair do Jogo,Arrête le jeu.,Dejar de Jugar,Esci dal gioco
RADIOKEY,Radio (R),收音机 (R),電台,라디오,Радио,Le radio.,La radio,ラジオ
Radio,Radio,收音机,,,,,,
Rail,Rail,秧鸡,,,,,,
Rail Desc,"A secretive bird walking through wet paddies, slipping between reeds",在水田中悄悄行走的小鸟，穿过稻丛，很少被发现，像水里的影子。,,,,,,
Rain,Rain,下雨,,,,,,
Rain Vloume,Rain Vloume,雨天音量,,,,,,
Ram Bones,Ram Bones,羊骨头,,,,,,
Ram Bones Desc,Old bones resting in the snow,雪地里留下的旧骨,,,,,,
Random,Random,随机播放,,,,,,
Rare,Rare,稀有,稀有,드레어,Редкий,Rare - Rare,Escaso,レア 
Rarity,Rarity,稀有度,,,,,,
Red-billed Chough,Chough,乌鸦,,,,,,
Red-billed ChoughDescription,"A playful cliff acrobat with a bright bill. It rides windy ridges, laughing",以鲜红的嘴脚著称，灵巧的悬崖飞者，常在海崖与山岭间盘旋呼唤，自由的化身。,,,,,,
Red-crowned Crane,Red-crowned Crane,丹顶鹤,,,,,,
Red-crowned Crane Desc,"A graceful bird with a red crown, walking slowly through shallow waters,",头顶红色的小精灵，在浅水中优雅行走，安静从容，像湿地里的温柔守护者。,,,,,,
RedBillDescription,"A playful cliff acrobat with a bright bill. It rides windy ridges, laughing",羽色漆黑发亮，双眼如星般聪慧。它们聪明机警，擅长模仿与解决问题，常在森林与人类之间自由穿行。乌鸦象征着智慧、预兆与重生，是夜色中最深邃的灵魂。,,,,,,
Redstart,Redstart,红尾鸲,,,,,,
Redstart Desc,"A small bird with a bright tail, flicking lightly as it perches on rice",停在稻穗上的小鸟，尾巴闪亮，轻快跳动，像田间的一点小火光。,,,,,,
Release All,Release All,全部放飞,,,,,,
Release Earnings,Reward：,奖励:,,,,,,
ReleaseAllConfirm,Are you sure you want to release all birds?,是否释放所有鸟？,,,,,,
ReleaseUnlocked,Release all unlocked bird,放飞所有未锁定鸟,,,,,,
Repeat,Cycles,循环,,,,,,
Reward,Reward,奖励,,,,,,
Rice,Rice,米粒,,,,,,
RiceKey,This is Rice,这是米粒,,,,,,
Right Click To Delete,"Right Click To Delete, left click to move",右键移动，左键删除,,,,,,
River,River,河流,,,,,,
Russian,Russian,俄语,俄語,러시아어,Русский язык,Russe,Rusia,ロシア語
SETTINGKEY,Setting (ESC),设置 (ESC),設定,설정,Установка,Environnement,Configuración,セッティング
SHOPKEY,Shop (S),商店 (S),商店,가게,Магазин,Magasin,Tienda,ショップ
STOPWATCH,STOPWATCH,秒表,,,,,,
Sand Beetle,Sand Beetle,甲虫,,,,,,
Sand Beetle Desc,A beetle crawling across the sand,沙地爬行的小甲虫,,,,,,
Sand Bloom,Sand Bloom,粉色小花,,,,,,
Sand Bloom Desc,A small flower growing in desert sand,沙地中顽强的小花,,,,,,
Sand Bucket,Sand Bucket,沙子桶,,,,,,
Sand Bucket Desc,A small bucket filled with sand,装满沙子的小桶,,,,,,
Sand Castle,Sand Castle,沙子城堡,,,,,,
Sand Castle Desc,A sand castle built on beach,海滩上堆起的沙堡,,,,,,
Scarecrow,Scarecrow,稻草人,,,,,,
Scarecrow Desc,A silent watcher standing in fields,田野中央的沉默守望,,,,,,
Schedule,Schedule,日程,日程表,일정,Расписание,Calendrier,Agenda,シュケジュール
Sea Grass,Sea Grass,可爱小草,,,,,,
Sea Grass Desc,A small grass swaying in sea wind,海风中摇摆的小草,,,,,,
Seagull,Seagull,海鸥,,,,,,
Seagull Desc,"A lively coastal bird gliding above waves, calling brightly in the wind,",在海面滑翔的小鸟，迎着海风鸣叫，活泼又好奇，为大海带来满满活力。,,,,,,
Seaside Flower,Seaside Flower,海边小花,,,,,,
Seaside Flower Desc,A small flower by the sea,海风吹拂的小花,,,,,,
Sec,Sec,秒,秒,초,Секунды,Seconde,Segundos,秒
Seed,Seed,种子,,,,,,
SeedKey,"""Tiny and tasty seeds\u2014small birds\u2019 favorite snack. Acceleration",细小而香甜的种子，是小鸟最爱的轻食。,,,,,,
SellButton,Release,放飞,售賣,,,,,
Session,Working,工作,,,,,,
Sessions overview,Sessions overview,工作概览,,,,,,
Shark,Shark,鲨鱼,,,,,,
Shy Mimosa,Shy Mimosa,含羞草,,,,,,
Shy Mimosa Desc,A quiet plant growing in the forest,林间安静生长的小草,,,,,,
Shy Plant,Shy Plant,含羞草,,,,,,
Shy Plant Desc,A quiet plant growing in the forest,林间安静生长的小草,,,,,,
Silent Flower,Silent Flower,白野花,,,,,,
Silent Flower Desc,A wild flower blooming in the woods,林间悄然盛开的野花,,,,,,
Siletnt Flower,Siletnt Flower,寂静小花,,,,,,
Siletnt Flower Desc,A white flower blooming in desert sands,沙地里安静盛开的白花,,,,,,
Skip,Skip,跳过,,,,,,
Small Branch,Small Branch,小树枝,,,,,,
Small Branch Desc,A small branch fallen in mountain wind,随风掉下来的树枝,,,,,,
Small Pond,Small Pond,小水潭,,,,,,
Small Pond Desc,A quiet pond beside the rice fields,田边安静的小水潭,,,,,,
Snow Bloom,Snow Bloom,雪野花,,,,,,
Snow Bloom Desc,A small flower blooming in snow,雪地里顽强的小花,,,,,,
Snow Bones,Snow Bones,羊骨头,,,,,,
Snow Bones Desc,Old bones resting in the snow,雪地里留下的旧骨,,,,,,
Snow Buddy,Snow Buddy,小雪人,,,,,,
Snow Buddy Desc,A little snow friend in white fields,雪地里安静的小伙伴,,,,,,
Snow Bunting,,雪雀,,,,,,
Snow BuntingDescription,"A winter sweetheart in soft white feathers. It hops across snowfields,",生活在寒冷的北方苔原，洁白羽毛在雪中闪烁，宛如飞舞的雪花。温柔而群居，象征纯净与在严冬中坚韧的生命。 ,,,,,,
Snow Finch,Snow Finch,雪岩鹨,,,,,,
Snow Finch Desc,"""A small passerine of high alpine and Arctic zones, hopping nimbly across",生活在高山与极地岩石间的小鸟，常在缝隙中筑巢，能在严寒中繁殖，是真正适应极端环境的留鸟。,,,,,,
Snow Vloume,Snow Vloume,雪天音量,,,,,,
Snow Wildflower,Snow Flower,雪野花,,,,,,
Snow Wildflower Desc,A small flower blooming in snow,雪地里顽强的小花,,,,,,
Snowy Owl,Snowy Owl,雪鸮,,,,,,
Snowy Owl Desc,"A powerful Arctic raptor with nearly silent flight, its thick white plumage",极地猛禽，厚实的白羽既保暖又隐身，飞行几乎无声，主要捕食旅鼠，是苔原上沉稳的顶级猎手。,,,,,,
Song Vloume,Song Vloume,歌曲音量,,,,,,
Sorting,Sorting,排序,,,,,,
Southern Yellow-billed Hornbill,,南方黄嘴犀鸟,,,,,,
Southern Yellow-billed HornbillDescription,"""Known for its large yellow beak and curious look. Often called the \u201Cflying",巨大的黄嘴、好奇的神情，被称作“会飞的香蕉”。漫步干旱草原觅食昆虫，聪明亲近，象征幽默与坚毅。,,,,,,
Spanish,Spanish,西班牙语,西班牙語,스페인어,Испанский язык,"Le résultat est

Espagnol",Español,スペイン語
Sparrow,Sparrow,麻雀,,,,,,
Sparrow Desc,"A tiny bird hopping among rice fields, chirping happily, pecking at fallen",在稻田间跳跃的小鸟，叽叽喳喳，啄食稻粒，让田野充满生机。,,,,,,
Start,Start,开始,啟動,시작,Начать,Démarrer,Comienzo,スタート
Start/Pause,Start/Pause,开始/暂停,,,,,,
SteamButton,Join the wishlist,加入愿望单,加入願望清單,,,,,
Stone Carving,Stone Carving,石雕,,,,,,
Stone Carving Desc,An ancient stone carving in marsh,湿地里古老的石雕,,,,,,
Stop,Stop,停止,停止,정지,Стоп,Arrêtez,Detente,トップ
Stop Watch,Stop Watch,秒表,秒錶,,,,,
Stop/Clear,'Stop/Clear ',停止/清除,,,,,,
Strange Desert Tree,Strange Tree,奇怪小树,,,,,,
Strange Desert Tree Desc,A strange tree standing in desert,沙漠中孤独的小树,,,,,,
Sunshine Radio,Sunshine Radio,暖阳收音机,,,,,,
Sunshine Radio Desc,A radio with warm sunny colors,像阳光般温暖的配色,,,,,,
Swallow,Swallow,燕子,,,,,,
Swallow Desc,"A swift flyer gliding low above rice paddies, turning gracefully, catching",在稻田上空飞舞的小鸟，轻盈盘旋，捕捉飞虫，让田野更有节奏。,,,,,,
TIMER,TIMER,计时器,,,,,,
TIMERKEY,Timer,计时器,計時器,타이머,Таймер,Le timer.,Reloj,タイマー
TeddyBear,TeddyBear,泰迪熊,泰迪熊,테디 베어,Медвежонок,'Ours,Osito de Algodón,テディーベア
ThanksKey,"""Feather Land is still in active development, so you may encounter bugs,","""\u76EE\u524D\u6E38\u620F\u4ECD\u5728\u5F00\u53D1\u4E2D\uFF0C\u53EF\u80FD\u4F1A\u9047\u5230\u4E00\u4E9B\u5C0F\u95EE\u9898\u6216\u5C1A\u672A\u5B8C\u5584\u7684\u5185\u5BB9\uFF0C\u611F\u8C22\u4F60\u7684\u7406\u89E3\u4E0E\u652F\u6301\u3002","""\u904A\u6232\u9084\u5728\u958B\u767C\u4E2D\uFF0C\u6240\u4EE5\u4F60\u53EF\u80FD\u6703\u9047\u5230\u4E00\u4E9B",,,,,
ThanksTitle,Thanks for joining the Feather Land Playtest!,感谢你参与《鸟语森林》的试玩！,感謝你參與《鳥語森林》的試玩！,,,,,
The maximum purchase quantity limit has been reached!,The maximum purchase quantity limit has been reached!,已达到最大购买数量限制！,已達最大購買數量限制！,구매수량 제한이 도달되었습니다!,"""\u041C\u0430\u043A\u0441\u0438\u043C\u0430\u043B\u044C\u043D\u0430\u044F",Le plafond de quantité d'achat maximal a été atteint !,¡El límite de cantidad para la compra ha sido alcanzado!,最大購入数量限度に達しました！
There is no birds,There are no birds for release,没有鸟可以放飞,,,,,,
Thunderbird,Ptarmigan,雷鸟,,,,,,
Time to have a break!,Time to have a break!,休息时间到了！,休息一下！,시간에 휴식이 필요해!,Время для перерыва!,Le temps de faire une pause !,¡Tiempo de hacer una pausa!,タイム・アウト！
Time to work!,Time to work!,时间到了！,時間到了！,근무 시간입니다!,Время работать!,Temps de travail !,Hora de trabajar!,時間は働く! 
Time's Up!,Time's Up!,时间到！,,,,,,
Timer,Timer,计时器,計時器,,,,,
Times,times,次数,,,,,,
Times up!,Times up!,时间到了！,時間已經到了！,시간 종료,Время кончено!,Le temps est écoulé !,¡Tiempo límite!,｢タイムズ・アップ！｣
TingTing Guitar,Missing Guitar,叮叮吉他,,,,,,
TingTing GuitarDescription,Looks like someone left it here.,一定是有人把它忘在这里了。你觉得小鸟会弹吗？,,,,,,
Tiny Mushroom,Tiny Mushroom,小蘑菇,,,,,,
Tiny Mushroom Desc,A small mushroom on the forest floor,地面上的小小蘑菇,,,,,,
Tiny Tree,Tiny Stump,小小树桩,,,,,,
Tiny TreeDescription,A spot where birds can rest.,小鸟可以在上面歇会儿。,,,,,,
ToDoListHint,Create a task,创建一个任务,,,,,,
Tools,Tools,工具,工具,도구,Инструменты,Outils,Herramientas,工具
Total Capacity,Total Capacity,总容量,,,,,,
Traveler Flask,Traveler Flask,水壶,,,,,,
Traveler Flask Desc,An old flask left by traveler,旅人留下的旧水壶,,,,,,
Try to focus for more than 5 minutes to earn coins.,Try to focus for more than 5 minutes to earn coins.,专注超过 5 分钟即可获得额外金币！,,,,,,
Tundra Bloom,Tundra Bloom,寒带小花,,,,,,
Tundra Bloom Desc,A tundra flower in cold land,极寒之地的小花,,,,,,
Tundra Flower,Tundra Flower,寒带小花,,,,,,
Tundra Flower Desc,A tundra flower in cold land,极寒之地的小花,,,,,,
Tundra Grass,Tundra Grass,寒带小草,,,,,,
Tundra Grass Desc,A grass growing in polar wind,在寒风中生长的小草,,,,,,
Turtledove,Turtle dove,斑鸠,,,,,,
Turtledove Description,"A gentle dove that stays close to its mate. Soft coos carry peace, warmth,",羽色柔和，颈间点缀珍珠般的斑纹。常在林边成双低语，鸣声温婉悠远。它们性情温顺、忠诚，被视为和平与爱的象征，为宁静的森林带来一份温柔与安宁。,,,,,,
Tutorial,Tutorial(T),教程(T),教學,,,,,
Tutorial0,Change the bird’s name here.,更改鸟的名字。,點擊購買有趣的物品：新鳥的蛋、裝飾品和工具,,,,,
Tutorial1,This bar shows the bird’s growth.,鸟的成长情况。,左鍵點擊小鳥：撫摸並賺取金幣,,,,,
Tutorial10,Setting (ESC),设置(ESC),,,,,,
Tutorial11,Focus Mode,专注模式,,,,,,
Tutorial12,Pomodoro Clock (P),番茄钟(P),,,,,,
Tutorial13,Notebook (N),笔记本(N),,,,,,
Tutorial14,Radio (R),收音机(R),,,,,,
Tutorial15,Windowed Mode (1),窗口模式(1),,,,,,
Tutorial16,Wallpaper Mode (2),壁纸模式(2),,,,,,
Tutorial17,Fullscreen Mode (3),全屏模式(3),,,,,,
Tutorial18,"'For tools: drag the dots to move, drag the corner to resize.'",对于工具窗口：拖动圆点即可移动，拖动角落即可缩放。,,,,,,
Tutorial2,Right-click a bird to check its info.,右键点击鸟查看它的信息。,右鍵點擊小鳥：查看資訊 ,,,,,
Tutorial3,Left-click a bird to pet it.,左键点击鸟来抚摸它,左鍵點擊地面：餵食幼鳥，看牠吃東西、成長並展翅飛翔！,,,,,
Tutorial4,"'Left-click the ground to drop food, When birds grow up, they earn more","""\u5DE6\u952E\u70B9\u51FB\u5730\u9762\u6765\u6295\u653E\u98DF\u7269,",你的工具：地圖、時鐘、鳥類圖鑑、收音機、筆記本和設定,,,,,
Tutorial5,"This is the shop, where you can buy eggs, decorations, and new tools.",杂货店 (S),點擊這裡切換天氣 —— 在夜晚、黃昏、多雲、雨天和晴天之間自由切換，超愜意！,,,,,
Tutorial6,"This is the bird book, meet and collect all your birds! (B)",鸟类图鉴 (B),你的金錢,,,,,
Tutorial7,Change weather here. (A),更改天气 (A),,,,,,
Tutorial8,Earn more coins to unlock new habitats. (M),探索地图 (M),,,,,,
Tutorial9,Coins,金币余额,,,,,,
TutorialBag,Open Backpack,打开背包,打開背包,,,,,
TutorialNew,"When birds grow up, they earn more coins per minute!",鸟长大后，每分钟赚更多金币！,,,,,,
